11953,14771,8194,270,1626
13857,7586,5321,6590,10651
4653,983,4175,13305,10772
1637,8296,8323,12366,924
612,10201,12299,11313,12470
1,2,3,4,5
3929,1,2,3,4
67,6705,14418,4416,599
2286,11567,13021,9394,721
1995,2827,4917,10418,5716
10981,5167,11137,6807,8383
12961,12369,1,2,3
3216,11475,9680,10297,1082
12322,5998,8729,10296,13953
436,1984,13473,2720,6109
3879,1,2,3,4
2215,11006,375,12855,1548
15207,13490,7219,3822,296
1590,3405,11966,2083,3676
5117,7698,9508,12188,2800
13242,2025,2568,8790,7570
5719,2667,2974,6353,14656
1136,9074,12699,2470,11024
7119,13803,5820,997,12279
2546,13883,14330,5773,14253
5942,293,218,11327,10216
12300,12750,1626,7161,8667
2879,4555,4835,6873,6992
13983,3806,3828,6436,6843
15209,12074,5974,4834,1922
14778,5206,8506,8577,7984
1451,10309,11948,11413,3049
10477,2996,7457,12544,7316
5585,11273,11294,4447,15258
8275,12538,10643,13285,2670
4828,583,14968,1408,1952
6735,4348,4170,3283,6772
895,5732,10154,13326,10544
4842,14100,3801,11170,9076
12691,14882,15207,2569,4423
10117,14896,5059,12577,13748
11532,8154,78,6408,10627
1408,3510,4484,4657,4777
4681,10869,2872,5019,5562
3987,14337,3436,15159,9749
11963,2055,607,5809,3438
11419,1563,2892,9440,1
1829,2188,12914,11530,11671
10061,12248,10661,1192,7722
5065,7738,6203,5780,9076
8284,4295,8574,10519,1015
2106,907,1786,3352,13631
11764,11325,112,2271,6350
13447,8569,5125,4195,605
12558,9343,12069,6405,7646
115,8230,3862,11746,13257
8455,11936,10449,14819,8484
6524,5485,9389,136,14762
1184,12133,3861,9163,9770
1,2,3,4,5
7123,41,10117,14896,8229
8713,9489,10189,11181,4940
3398,9477,13903,4189,13936
9449,11430,4103,7408,13963
2448,11739,13302,4879,214
1346,3979,12795,12182,8177
6480,9932,4416,2821,6597
3482,4761,8162,7249,4038
81,5748,6011,9395,8903
14456,14237,12335,6119,13282
10773,11701,2167,2898,11587
11120,4484,10679,1408,3510
6616,7372,1949,4574,442
7187,8724,13922,3069,8414
938,13281,15321,13576,243
12924,10796,10073,2906,8440
5030,7620,10504,14622,592
8154,6408,9616,12950,5245
13961,13577,14255,14783,3015
7480,6492,9838,11373,15259
13114,12994,5748,14410,7431
2609,3821,1041,7886,7062
2064,2704,3706,310,14993
2137,2355,2947,5526,6699
1500,2830,8531,8961,11922
12136,14128,13161,8134,11892
728,1834,8257,1943,2675
2629,5603,8628,8992,6388
10340,11431,9542,2092,7414
8836,11024,2597,1249,2386
3587,10726,2421,3286,9525
9026,9109,10960,102,5708
12349,341,2117,5454,6257
2064,2704,83,3706,310
6765,11498,919,772,2581
5384,2403,8891,11501,9777
7736,3956,2693,5974,4042
14876,10909,2260,9371,7264
12971,9823,1452,13140,11295
10775,10054,11441,2941,6520
289,3104,4103,7655,11430
92,9026,11226,9109,10960
1122,2545,8118,10194,14422
4555,4835,6873,6992,9952
1635,4392,5846,12417,8056
13778,7796,3393,13290,10028
8309,14915,7408,13963,13625
713,2650,10138,6474,11941
13936,4667,725,8967,7656
13117,1009,8641,11240,10631
13675,205,1561,2072,2083
2271,6350,7149,12925,14613
10139,10408,14192,2620,3075
14275,5492,7717,1349,3544
8230,3862,56,11746,13257
7869,8937,12807,13951,14953
3552,6774,6144,12782,519
6740,14417,7014,3630,1943
1493,13421,1990,12646,14004
7797,734,2722,7969,9307
12828,11110,14393,4696,8744
2374,6550,6914,9377,9727
5622,6562,972,7663,14252
3697,3660,4474,8338,10223
695,3197,3297,7928,8196
3486,6706,8423,12036,12090
6909,13421,13679,772,1493
12362,8043,2581,3693,3917
12292,12356,14925,15127,12723
3209,4184,8965,10755,9919
11307,10132,1239,11035,12380
8576,12764,14066,8431,12642
3124,3599,14590,7956,377
5053,11203,10108,6160,9121
11412,14518,2392,6570,3927
6524,5485,9389,14762,4070
7889,8954,1904,3675,15010
11202,14789,788,2077,3682
14250,510,3059,3581,4062
14091,9733,3971,12053,11933
8574,10519,3588,14733,13074
5431,6492,4974,10244,14970
3827,6903,9944,4893,13763
9686,1,2,3,4
8624,7393,1,2,3
366,4545,13960,1181,6067
11764,698,11325,3420,1376
3297,7928,8196,3974,5373
2299,2380,6057,6423,13113
10179,14257,11714,10689,13160
8036,177,12592,13318,13002
2444,7607,10915,8136,4085
9013,15043,6881,2304,7548
13553,14302,7479,13762,4445
7215,1,2,3,4
341,2117,5454,6257,6284
7869,8937,12807,13951,14953
12344,5483,9543,14377,1787
14670,14415,2869,836,3223
6705,1045,3124,133,1095
3810,10809,8823,12648,15171
12094,2638,11253,9569,9155
1825,5056,8432,11284,13387
9735,815,10541,8043,8525
1261,8518,13068,753,11329
13350,3132,12457,10632,5768
11369,12405,15275,9856,14271
2137,6435,6699,8403,10934
6502,9322,15021,306,4036
5348,13332,2778,5579,9603
4820,4119,3933,11602,15218
9188,563,7220,214,14339
2355,11532,1389,11311,5982
695,13023,7163,4624,3936
9920,3021,873,1062,13526
5982,13596,9597,4551,345
12592,4093,343,811,14046
3747,6449,8869,7176,10582
9779,11625,8602,787,1258
8814,11811,10082,6325,14376
3967,1,2,3,4
9809,13217,2820,1103,9000
9442,3062,8694,13587,15353
10397,11068,9447,4107,1503
1271,412,2845,5527,2795
7796,13290,2760,7876,9916
5627,9452,5163,8993,14116
